2013-2016,drones,1.0,0.0
2009-2012,fall,1.0,0.0
2009-2012,bet,3.0,0.0
2017-2020,capitol.,1.0,0.0
2013-2016,talked,1.0,0.0
2017-2020,tell,2.3333333333333335,1.5275252316519468
2013-2016,rancor,1.0,0.0
2017-2020,provocation.,1.0,0.0
2013-2016,fields,1.5,0.7071067811865476
2009-2012,marchers,1.0,0.0
2013-2016,agencies,1.0,0.0
2013-2016,elected.,1.0,0.0
2017-2020,precision,1.0,0.0
2017-2020,saratoga,1.0,0.0
2009-2012,b,1.0,0.0
2009-2012,dime,1.0,0.0
2009-2012,300000,1.0,0.0
2009-2012,industry,6.5,3.5355339059327378
2009-2012,march,1.0,0.0
2013-2016,distant,1.0,0.0
